科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,说明
妇科门诊,53,1606133,活检钳1宫颈钳1镊子1/z2032,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,54,1606133,取环器-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,55,1606133,探针1窥器1宫颈钳1/z2044,3.0,12.375,8.91,37.125,26.73,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,56,1606133,吸头5号.6号.7号-3件/z7534,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,57,1606133,吸头6号.7号.8号-3件/z7534,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,58,1606895,拆线剪1止血钳1/Z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,59,1606895,持针器1剪刀1止血钳1/Z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,60,1606895,宫颈钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,61,1606895,剪刀1持针器1钩镊1/z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,62,1606895,剪刀1窥器1宫颈钳1/z2044,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,63,1606895,卵圆钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,65,1606895,取环器-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,67,1606895,探针1窥器1宫颈钳1/z2044,7.0,12.375,8.91,86.625,62.37,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,68,1606895,吸头5号.6号.7号-3件/z7534,4.0,12.375,8.91,49.5,35.64,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,69,1606895,止血钳 中-3/z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,71,1607054,窥器-1/Z1526,1.0,18.75,18.8,18.75,18.8,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
妇科门诊,72,1607618,拆线剪1止血钳小2/z1526,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,73,1607618,卵圆钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,76,1607618,探针1窥器1宫颈钳1/z2044,4.0,12.375,8.91,49.5,35.64,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,77,1607618,吸头5号.6号.7号-3件/z7534,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,78,1607816,窥器-1/Z1526,1.0,18.75,18.8,18.75,18.8,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
妇科门诊,79,1608927,剪刀1窥器1宫颈钳1/z2044,2.0,12.375,8.91,24.75,17.82,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,81,1608927,取环器-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,82,1608927,探针1窥器1宫颈钳1/z2044,10.0,12.375,8.91,123.75,89.1,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,83,1608927,吸头5号6号7号-3件/z7534,5.0,12.375,8.91,61.875,44.55,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,84,1608927,吸头6号.7号.8号-3件/z7534,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,87,1608960,水管-1/Z3040,1.0,26.25,26.3,26.25,26.3,原始按器械数×基础单价(26.25)计费；处理后按标准价(26.3)计费
妇科门诊,89,1609662,取环钳（低温）-1件/z1560,1.0,18.75,18.8,18.75,18.8,原始按器械数×基础单价(18.75)计费；处理后按标准价(18.8)计费
妇科门诊,91,1609693,拆线剪1止血钳1/Z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,93,1609693,取环器-1/z1535,2.0,8.25,8.3,16.5,16.6,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,94,1609693,探针1窥器1宫颈钳1/z2044,6.0,12.375,8.91,74.25,53.46,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,96,1610269,拆线剪1止血钳1/Z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,98,1610269,活检钳-1/Z1550,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,99,1610269,活检钳1宫颈钳1镊子1/z2032,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,100,1610269,窥器-1/Z1526,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,102,1610269,取环器-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,104,1610269,探针1窥器1宫颈钳1/z2044,7.0,12.375,8.91,86.625,62.37,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,106,1610472,水管-1/Z3040,1.0,26.25,26.3,26.25,26.3,原始按器械数×基础单价(26.25)计费；处理后按标准价(26.3)计费
妇科门诊,107,1611057,活检钳1宫颈钳1/z2032,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,108,1611057,剪刀1窥器1宫颈钳1/z2044,3.0,12.375,8.91,37.125,26.73,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,110,1611057,取环器-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,111,1611057,探针1窥器1宫颈钳1/z2044,6.0,12.375,8.91,74.25,53.46,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,112,1611057,吸头5号.6号.7号-3件/z7534,3.0,12.375,8.91,37.125,26.73,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,113,1611057,吸头6号.7号.8号-3件/z7534,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,115,1611795,探针1窥器1宫颈钳1/z2044,6.0,12.375,8.91,74.25,53.46,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,116,1611908,持针器1剪刀1止血钳1/Z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,117,1611908,活检钳-1/Z1550,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,120,1611908,取环器-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,121,1611908,吸头5号6号7号-3件/z7534,2.0,12.375,8.91,24.75,17.82,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,124,1612297,取环器-1/z1535,3.0,8.25,8.3,24.75,24.9,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
妇科门诊,125,1612297,舌钳1开口器1/z1526,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,126,1612297,探针1窥器1宫颈钳1/z2044,5.0,12.375,8.91,61.875,44.55,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
妇科门诊,128,1612297,产钳-2/w9050,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,12,1602773,卵圆钳-1/z1535,2.0,8.25,8.3,16.5,16.6,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,17,1603544,巾钳子-2/z1526,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,18,1603544,卵圆钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,20,1603544,弯盘-1/z2032,2.0,9.75,9.8,19.5,19.6,原始按器械数×基础单价(9.75)计费；处理后按标准价(9.8)计费
手术室,23,1603544,小S拉钩-1/W6050,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,30,1605627,巾钳子-2/z1526,3.0,12.375,8.91,37.125,26.73,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,32,1605627,卵圆钳-1/z1535,5.0,8.25,8.3,41.25,41.5,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,35,1605627,弯盘-1/z2032,1.0,9.75,9.8,9.75,9.8,原始按器械数×基础单价(9.75)计费；处理后按标准价(9.8)计费
手术室,36,1605627,咬骨钳-1/Z2032,1.0,9.75,9.8,9.75,9.8,原始按器械数×基础单价(9.75)计费；处理后按标准价(9.8)计费
手术室,37,1605627,凿子-1/Z1530,2.0,8.25,8.3,16.5,16.6,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,38,1605627,止血钳 中-3/z1530,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,40,1605627,锤子-1/w6050,2.0,12.375,8.91,24.75,17.82,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,46,1606135,卵圆钳-1/z1535,2.0,8.25,8.3,16.5,16.6,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,51,1606896,卵圆钳-1/z1535,2.0,8.25,8.3,16.5,16.6,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,53,1606896,弯盘-1/z2032,1.0,9.75,9.8,9.75,9.8,原始按器械数×基础单价(9.75)计费；处理后按标准价(9.8)计费
手术室,58,1607619,卵圆钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,63,1608177,巾钳子-2/z1526,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,65,1608177,卵圆钳-1/z1535,3.0,8.25,8.3,24.75,24.9,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,71,1608928,卵圆钳-1/z1535,3.0,8.25,8.3,24.75,24.9,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,72,1608928,弯盘-1/z2032,1.0,9.75,9.8,9.75,9.8,原始按器械数×基础单价(9.75)计费；处理后按标准价(9.8)计费
手术室,74,1608928,电钻-3/W7050,1.0,12.375,8.91,12.375,8.91,原始按器械数×基础单价(12.375)计费；处理后按标准价(8.91)计费
手术室,76,1609694,卵圆钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,77,1609694,弯盘-1/z2032,1.0,9.75,9.8,9.75,9.8,原始按器械数×基础单价(9.75)计费；处理后按标准价(9.8)计费
手术室,79,1610270,卵圆钳-1/z1535,1.0,8.25,8.3,8.25,8.3,原始按器械数×基础单价(8.25)计费；处理后按标准价(8.3)计费
手术室,80,1610270,弯盘-1/z2032,1.0,9.75,9.8,9.75,9.8,原始按器械数×基础单价(9.75)计费；处理后按标准价(9.8)计费
